'user equipment',0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,5.0,2.0,7.0,7.0,3.0,2.0,7.0,8.0,5.0,9.0,8.0,15.0,6.0,11.0,11.0,20.0,13.0,15.0,15.0,22.0,15.0,13.0,15.0,24.0,20.0
'mobile device',1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,4.0,5.0,2.0,3.0,6.0,1.0,5.0,3.0,6.0,8.0,8.0,10.0,10.0,3.0,7.0,8.0,18.0,12.0,13.0,19.0,13.0,12.0,14.0,27.0,26.0,23.0,20.0,21.0,19.0,23.0,20.0,19.0,19.0,18.0
'computer program product',4.0,1.0,3.0,2.0,5.0,3.0,7.0,8.0,1.0,3.0,2.0,4.0,6.0,5.0,4.0,3.0,6.0,3.0,9.0,10.0,6.0,14.0,16.0,14.0,7.0,9.0,9.0,14.0,11.0,14.0,16.0,15.0,22.0,16.0,18.0,23.0,11.0,16.0,25.0,16.0,23.0,23.0,18.0,32.0,25.0,27.0,18.0,27.0,28.0,24.0,22.0,27.0,19.0
'base station',1.0,5.0,3.0,2.0,5.0,5.0,5.0,8.0,2.0,2.0,3.0,7.0,8.0,4.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,2.0,5.0,5.0,14.0,12.0,10.0,6.0,3.0,12.0,11.0,16.0,7.0,13.0,15.0,11.0,17.0,20.0,17.0,20.0,18.0,11.0,15.0,14.0,12.0,21.0,11.0,21.0,17.0,20.0,11.0,18.0,18.0
'computing device',1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,7.0,3.0,6.0,3.0,6.0,11.0,6.0,10.0,6.0,12.0,11.0,11.0,11.0,14.0,8.0,11.0,9.0,14.0,7.0,15.0,13.0,14.0,14.0
'image form apparatus',5.0,3.0,4.0,3.0,2.0,5.0,9.0,3.0,10.0,6.0,4.0,9.0,6.0,8.0,8.0,3.0,2.0,6.0,7.0,11.0,3.0,3.0,4.0,5.0,4.0,6.0,3.0,11.0,9.0,8.0,9.0,12.0,9.0,12.0,7.0,14.0,12.0,10.0,14.0,16.0,13.0,16.0,13.0,19.0,14.0,21.0,11.0,9.0,4.0,8.0,7.0,11.0,10.0
'far configure',0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,7.0,5.0,5.0,4.0,7.0,7.0,7.0,6.0,3.0,4.0,13.0,5.0,11.0,10.0,5.0,14.0,15.0,12.0
'electronic device',4.0,2.0,4.0,8.0,1.0,8.0,12.0,4.0,6.0,5.0,8.0,6.0,2.0,8.0,7.0,8.0,5.0,10.0,3.0,8.0,8.0,8.0,13.0,19.0,6.0,5.0,11.0,13.0,9.0,9.0,20.0,22.0,13.0,10.0,18.0,14.0,15.0,18.0,24.0,15.0,15.0,19.0,29.0,25.0,22.0,24.0,34.0,27.0,26.0,19.0,36.0,48.0,26.0
'electrically connect',7.0,14.0,13.0,12.0,14.0,11.0,16.0,9.0,8.0,8.0,14.0,16.0,9.0,9.0,10.0,18.0,19.0,10.0,14.0,16.0,15.0,17.0,17.0,28.0,14.0,12.0,22.0,21.0,18.0,20.0,23.0,23.0,16.0,25.0,25.0,21.0,13.0,32.0,25.0,32.0,14.0,24.0,17.0,35.0,28.0,24.0,30.0,27.0,19.0,24.0,24.0,33.0,25.0
'user interface',3.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,6.0,4.0,5.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,5.0,9.0,7.0,10.0,7.0,6.0,14.0,8.0,8.0,5.0,5.0,8.0,7.0,4.0,6.0,11.0,19.0,13.0,10.0,10.0,10.0,15.0,10.0,6.0,13.0,17.0,17.0,15.0,11.0,15.0,16.0,10.0,12.0,15.0,18.0
'controller configure',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,6.0,1.0,5.0,3.0,2.0,4.0,6.0,5.0,7.0,10.0,9.0,3.0,13.0,8.0,5.0,10.0,15.0,8.0
'display device',2.0,2.0,4.0,3.0,9.0,1.0,12.0,5.0,5.0,7.0,8.0,6.0,3.0,4.0,6.0,5.0,4.0,5.0,10.0,7.0,5.0,9.0,9.0,9.0,6.0,6.0,10.0,14.0,10.0,15.0,8.0,16.0,11.0,15.0,10.0,21.0,14.0,13.0,20.0,13.0,17.0,21.0,18.0,21.0,18.0,18.0,19.0,23.0,27.0,18.0,33.0,19.0,24.0
'communication device',2.0,4.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,8.0,3.0,4.0,4.0,3.0,5.0,8.0,3.0,5.0,8.0,1.0,7.0,9.0,6.0,6.0,5.0,10.0,10.0,7.0,8.0,9.0,6.0,15.0,6.0,10.0,8.0,14.0,13.0,7.0,2.0,13.0,9.0,9.0,12.0,8.0,9.0
'axial direction',3.0,8.0,3.0,2.0,7.0,1.0,3.0,6.0,4.0,6.0,3.0,4.0,3.0,8.0,4.0,2.0,3.0,7.0,4.0,1.0,6.0,9.0,4.0,5.0,7.0,5.0,3.0,5.0,3.0,3.0,6.0,8.0,4.0,6.0,12.0,7.0,6.0,10.0,12.0,13.0,8.0,5.0,14.0,15.0,5.0,11.0,11.0,15.0,7.0,16.0,10.0,16.0,7.0
'compute device',1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,6.0,1.0,5.0,5.0,7.0,6.0,8.0,7.0,10.0,13.0,12.0,6.0,14.0,10.0,15.0,7.0,10.0,16.0,14.0,13.0
'control unit',5.0,3.0,7.0,5.0,1.0,9.0,7.0,5.0,10.0,4.0,4.0,8.0,5.0,6.0,7.0,9.0,5.0,7.0,7.0,10.0,7.0,11.0,10.0,10.0,8.0,9.0,12.0,11.0,12.0,15.0,14.0,12.0,13.0,15.0,13.0,19.0,13.0,19.0,13.0,12.0,16.0,20.0,17.0,22.0,12.0,18.0,21.0,20.0,15.0,24.0,23.0,18.0,17.0
'light source',8.0,8.0,5.0,7.0,8.0,13.0,18.0,10.0,9.0,10.0,13.0,13.0,6.0,6.0,15.0,15.0,13.0,15.0,15.0,24.0,11.0,18.0,14.0,16.0,5.0,14.0,14.0,19.0,14.0,18.0,22.0,15.0,17.0,25.0,17.0,20.0,17.0,15.0,23.0,22.0,21.0,17.0,16.0,22.0,21.0,23.0,22.0,18.0,21.0,23.0,28.0,23.0,25.0
'top surface',7.0,10.0,11.0,5.0,8.0,8.0,6.0,5.0,7.0,3.0,7.0,5.0,4.0,7.0,0.0,5.0,3.0,6.0,5.0,9.0,9.0,5.0,9.0,15.0,4.0,12.0,7.0,7.0,13.0,12.0,5.0,11.0,9.0,12.0,11.0,9.0,12.0,10.0,14.0,17.0,11.0,14.0,18.0,17.0,11.0,16.0,19.0,15.0,9.0,15.0,20.0,26.0,16.0
'semiconductor layer',2.0,2.0,2.0,0.0,1.0,3.0,3.0,8.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,7.0,1.0,2.0,10.0,8.0,4.0,4.0,7.0,7.0,3.0,5.0,4.0,16.0,6.0,13.0,12.0,9.0,4.0,11.0,11.0,7.0,6.0,10.0,10.0,9.0,6.0,7.0,6.0,5.0,2.0
'following step',3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,6.0,5.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,7.0,2.0,5.0,4.0,4.0,4.0,7.0,5.0,2.0,4.0,12.0,4.0,11.0,10.0,12.0,9.0,7.0,11.0,6.0,9.0,7.0,15.0,11.0,11.0,15.0,11.0,3.0,9.0,10.0,10.0,7.0,5.0
'least partially',3.0,6.0,2.0,4.0,5.0,4.0,2.0,7.0,2.0,6.0,2.0,3.0,2.0,8.0,4.0,4.0,4.0,2.0,4.0,1.0,9.0,4.0,7.0,6.0,4.0,6.0,8.0,5.0,2.0,3.0,5.0,6.0,5.0,8.0,9.0,18.0,5.0,11.0,5.0,7.0,10.0,8.0,9.0,11.0,8.0,9.0,11.0,8.0,6.0,11.0,8.0,11.0,6.0
'determine base',1.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,3.0,3.0,9.0,6.0,8.0,7.0,3.0,7.0,6.0,3.0,2.0,6.0,2.0,12.0,3.0,8.0,10.0,7.0,8.0,4.0,16.0,8.0,9.0,12.0,12.0,14.0,9.0,19.0,13.0,10.0,13.0,16.0,12.0,19.0,20.0
'semiconductor device',18.0,23.0,14.0,9.0,13.0,14.0,22.0,8.0,15.0,15.0,18.0,14.0,10.0,16.0,8.0,17.0,13.0,19.0,18.0,17.0,14.0,23.0,29.0,36.0,16.0,27.0,17.0,26.0,30.0,24.0,22.0,19.0,18.0,25.0,24.0,30.0,26.0,23.0,30.0,36.0,18.0,20.0,28.0,38.0,20.0,35.0,33.0,21.0,35.0,37.0,37.0,17.0,26.0
'memory cell',3.0,10.0,8.0,8.0,8.0,6.0,7.0,12.0,10.0,7.0,10.0,6.0,6.0,10.0,11.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,6.0,10.0,7.0,8.0,7.0,6.0,4.0,11.0,13.0,8.0,4.0,12.0,12.0,13.0,8.0,10.0,8.0,20.0,12.0,9.0,16.0,17.0,8.0,16.0,9.0,4.0,12.0,6.0,13.0,11.0,8.0
'display panel',4.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,5.0,6.0,2.0,0.0,2.0,5.0,5.0,4.0,5.0,6.0,7.0,3.0,3.0,7.0,10.0,5.0,7.0,7.0,7.0,4.0,13.0,7.0,12.0,10.0,6.0,11.0,12.0,14.0,8.0,12.0,14.0,6.0
