'mobile device',19.0,24.0,22.0,36.0,45.0,48.0,60.0,45.0,45.0,37.0,57.0,72.0,70.0,68.0,53.0,74.0,66.0,83.0,82.0,112.0,90.0,116.0,134.0,121.0,141.0,173.0,183.0,231.0,215.0,303.0,346.0,384.0,344.0,405.0,480.0,561.0,420.0,567.0,713.0,694.0,550.0,641.0,707.0,856.0,665.0,792.0,782.0,795.0,734.0,840.0,902.0,875.0,693.0,783.0
'base station',93.0,142.0,159.0,184.0,165.0,222.0,223.0,226.0,168.0,162.0,128.0,171.0,152.0,150.0,151.0,155.0,159.0,176.0,173.0,200.0,166.0,227.0,228.0,229.0,249.0,249.0,314.0,345.0,350.0,380.0,495.0,471.0,412.0,491.0,580.0,544.0,479.0,635.0,689.0,658.0,541.0,546.0,611.0,752.0,507.0,669.0,653.0,672.0,519.0,612.0,654.0,652.0,533.0,545.0
'user equipment',13.0,14.0,15.0,20.0,15.0,23.0,20.0,23.0,26.0,26.0,18.0,23.0,21.0,25.0,20.0,26.0,23.0,34.0,25.0,36.0,21.0,47.0,40.0,63.0,51.0,66.0,82.0,119.0,91.0,126.0,187.0,198.0,169.0,226.0,261.0,300.0,263.0,325.0,449.0,451.0,358.0,414.0,432.0,617.0,425.0,580.0,586.0,617.0,482.0,635.0,652.0,642.0,574.0,600.0
'unit configure',7.0,8.0,10.0,6.0,19.0,17.0,15.0,22.0,23.0,22.0,26.0,34.0,39.0,41.0,36.0,51.0,43.0,64.0,67.0,87.0,62.0,120.0,113.0,149.0,162.0,146.0,194.0,221.0,204.0,301.0,324.0,352.0,299.0,355.0,374.0,379.0,318.0,470.0,495.0,495.0,460.0,489.0,560.0,639.0,534.0,593.0,531.0,569.0,531.0,589.0,560.0,613.0,515.0,608.0
'computer program product',68.0,77.0,102.0,84.0,105.0,121.0,153.0,138.0,126.0,114.0,115.0,187.0,116.0,175.0,171.0,157.0,197.0,230.0,214.0,300.0,213.0,352.0,377.0,370.0,368.0,331.0,397.0,407.0,394.0,465.0,530.0,529.0,479.0,500.0,629.0,640.0,554.0,619.0,673.0,715.0,565.0,613.0,733.0,787.0,712.0,732.0,699.0,710.0,772.0,765.0,781.0,762.0,663.0,733.0
'computing device',26.0,19.0,24.0,32.0,22.0,44.0,57.0,43.0,31.0,43.0,35.0,53.0,40.0,47.0,45.0,47.0,52.0,72.0,47.0,85.0,68.0,85.0,83.0,85.0,80.0,93.0,89.0,120.0,103.0,114.0,171.0,164.0,151.0,175.0,239.0,288.0,216.0,327.0,368.0,360.0,338.0,377.0,411.0,474.0,423.0,456.0,471.0,483.0,480.0,527.0,504.0,550.0,456.0,552.0
'user interface',67.0,103.0,121.0,112.0,113.0,159.0,182.0,149.0,169.0,154.0,152.0,149.0,144.0,177.0,138.0,190.0,167.0,235.0,230.0,265.0,234.0,311.0,338.0,309.0,294.0,309.0,297.0,319.0,325.0,382.0,391.0,425.0,377.0,408.0,501.0,509.0,435.0,557.0,611.0,553.0,444.0,532.0,564.0,604.0,516.0,556.0,543.0,579.0,564.0,626.0,604.0,613.0,499.0,587.0
'compute device',21.0,20.0,20.0,24.0,13.0,37.0,45.0,28.0,28.0,34.0,34.0,40.0,37.0,49.0,35.0,49.0,44.0,62.0,54.0,69.0,58.0,86.0,82.0,79.0,82.0,79.0,86.0,90.0,89.0,108.0,138.0,132.0,142.0,172.0,215.0,234.0,171.0,256.0,330.0,306.0,299.0,330.0,372.0,411.0,353.0,418.0,419.0,459.0,436.0,488.0,487.0,533.0,402.0,478.0
'wireless communication system',29.0,46.0,51.0,59.0,58.0,82.0,89.0,78.0,61.0,67.0,66.0,91.0,67.0,69.0,75.0,88.0,57.0,95.0,113.0,112.0,81.0,125.0,134.0,121.0,112.0,150.0,172.0,213.0,173.0,237.0,271.0,282.0,222.0,274.0,314.0,318.0,293.0,394.0,377.0,380.0,262.0,346.0,348.0,394.0,325.0,379.0,386.0,413.0,321.0,371.0,405.0,387.0,327.0,308.0
'pharmaceutical composition',216.0,241.0,210.0,217.0,167.0,350.0,326.0,324.0,265.0,291.0,287.0,223.0,227.0,321.0,271.0,278.0,242.0,284.0,318.0,356.0,329.0,439.0,439.0,418.0,349.0,383.0,420.0,470.0,406.0,544.0,452.0,539.0,523.0,563.0,573.0,609.0,528.0,650.0,617.0,638.0,535.0,640.0,590.0,632.0,509.0,564.0,598.0,636.0,529.0,691.0,665.0,645.0,534.0,627.0
'user device',3.0,11.0,11.0,16.0,11.0,18.0,18.0,19.0,15.0,11.0,13.0,16.0,7.0,15.0,17.0,15.0,17.0,33.0,24.0,33.0,20.0,45.0,44.0,44.0,40.0,31.0,42.0,55.0,58.0,69.0,91.0,96.0,102.0,102.0,132.0,143.0,109.0,163.0,258.0,225.0,201.0,230.0,230.0,303.0,237.0,285.0,302.0,320.0,293.0,340.0,385.0,341.0,271.0,359.0
'following step',94.0,125.0,96.0,72.0,73.0,105.0,111.0,120.0,92.0,96.0,86.0,99.0,94.0,133.0,102.0,118.0,112.0,112.0,95.0,141.0,131.0,197.0,170.0,169.0,148.0,163.0,196.0,220.0,204.0,223.0,246.0,281.0,236.0,293.0,295.0,296.0,269.0,362.0,373.0,372.0,296.0,344.0,325.0,361.0,306.0,319.0,306.0,296.0,269.0,336.0,331.0,306.0,274.0,323.0
'virtual machine',17.0,5.0,16.0,15.0,6.0,18.0,18.0,16.0,14.0,20.0,16.0,18.0,13.0,18.0,23.0,16.0,28.0,27.0,25.0,23.0,31.0,45.0,57.0,52.0,37.0,50.0,71.0,62.0,74.0,105.0,112.0,125.0,112.0,141.0,140.0,188.0,136.0,187.0,247.0,227.0,241.0,249.0,287.0,318.0,261.0,265.0,297.0,312.0,309.0,261.0,298.0,288.0,215.0,249.0
'communication device',53.0,86.0,72.0,92.0,90.0,133.0,142.0,120.0,83.0,122.0,101.0,120.0,90.0,125.0,108.0,127.0,99.0,130.0,113.0,149.0,124.0,205.0,195.0,168.0,175.0,166.0,232.0,241.0,220.0,286.0,322.0,306.0,257.0,296.0,371.0,345.0,295.0,376.0,409.0,397.0,291.0,352.0,368.0,416.0,318.0,365.0,341.0,347.0,279.0,370.0,388.0,376.0,328.0,356.0
'determine base',61.0,88.0,72.0,73.0,102.0,132.0,114.0,118.0,96.0,89.0,95.0,118.0,88.0,118.0,112.0,115.0,113.0,136.0,136.0,167.0,128.0,203.0,204.0,189.0,186.0,204.0,228.0,258.0,230.0,280.0,279.0,291.0,268.0,269.0,374.0,381.0,290.0,388.0,428.0,386.0,317.0,351.0,387.0,515.0,381.0,442.0,420.0,425.0,418.0,500.0,495.0,509.0,427.0,471.0
'client device',9.0,19.0,21.0,25.0,21.0,22.0,34.0,38.0,21.0,27.0,38.0,35.0,20.0,44.0,31.0,43.0,34.0,41.0,62.0,77.0,57.0,104.0,72.0,79.0,75.0,85.0,84.0,80.0,90.0,107.0,133.0,139.0,132.0,143.0,179.0,212.0,132.0,237.0,278.0,243.0,228.0,238.0,294.0,331.0,271.0,313.0,326.0,348.0,294.0,366.0,371.0,384.0,279.0,346.0
'information associate',30.0,28.0,36.0,55.0,51.0,62.0,63.0,61.0,62.0,54.0,65.0,60.0,64.0,94.0,69.0,78.0,73.0,82.0,93.0,110.0,104.0,159.0,131.0,178.0,141.0,152.0,161.0,167.0,162.0,159.0,227.0,238.0,192.0,245.0,278.0,340.0,214.0,303.0,338.0,304.0,275.0,286.0,297.0,370.0,293.0,344.0,326.0,315.0,357.0,391.0,352.0,386.0,280.0,300.0
'image data',167.0,236.0,202.0,249.0,233.0,321.0,287.0,289.0,263.0,230.0,247.0,293.0,199.0,326.0,277.0,350.0,268.0,306.0,306.0,414.0,331.0,370.0,378.0,408.0,341.0,388.0,370.0,531.0,416.0,514.0,611.0,596.0,538.0,513.0,600.0,606.0,492.0,594.0,651.0,649.0,475.0,492.0,562.0,583.0,428.0,476.0,529.0,548.0,448.0,526.0,493.0,530.0,447.0,537.0
'image processing apparatus',22.0,38.0,31.0,48.0,52.0,59.0,52.0,60.0,52.0,44.0,41.0,55.0,47.0,61.0,57.0,67.0,50.0,75.0,67.0,93.0,53.0,100.0,87.0,83.0,103.0,69.0,107.0,138.0,139.0,173.0,201.0,215.0,193.0,207.0,241.0,238.0,188.0,243.0,278.0,241.0,214.0,185.0,189.0,189.0,157.0,176.0,161.0,147.0,159.0,179.0,166.0,174.0,126.0,177.0
'display unit',74.0,76.0,69.0,71.0,65.0,106.0,96.0,87.0,74.0,84.0,74.0,82.0,68.0,99.0,97.0,86.0,97.0,136.0,101.0,121.0,112.0,130.0,141.0,156.0,142.0,126.0,165.0,176.0,151.0,193.0,231.0,245.0,222.0,228.0,244.0,282.0,225.0,295.0,323.0,327.0,262.0,307.0,347.0,383.0,282.0,326.0,300.0,348.0,303.0,322.0,347.0,320.0,267.0,297.0
'controller configure',7.0,14.0,12.0,9.0,13.0,18.0,26.0,30.0,28.0,19.0,19.0,21.0,17.0,31.0,27.0,31.0,38.0,40.0,37.0,53.0,40.0,70.0,91.0,83.0,89.0,68.0,103.0,92.0,115.0,141.0,156.0,142.0,152.0,132.0,181.0,180.0,170.0,231.0,242.0,246.0,211.0,237.0,315.0,335.0,274.0,337.0,364.0,420.0,380.0,417.0,438.0,528.0,447.0,503.0
'mobile terminal',24.0,58.0,44.0,47.0,57.0,66.0,56.0,87.0,65.0,60.0,57.0,75.0,57.0,74.0,68.0,88.0,64.0,95.0,92.0,116.0,80.0,121.0,110.0,115.0,95.0,108.0,129.0,150.0,132.0,148.0,206.0,188.0,176.0,185.0,200.0,236.0,190.0,238.0,311.0,279.0,200.0,225.0,231.0,288.0,213.0,268.0,269.0,260.0,237.0,245.0,258.0,223.0,234.0,244.0
'far configure',23.0,21.0,22.0,27.0,25.0,36.0,36.0,45.0,33.0,37.0,33.0,42.0,24.0,40.0,40.0,38.0,51.0,43.0,41.0,62.0,61.0,69.0,77.0,79.0,73.0,76.0,91.0,95.0,79.0,127.0,122.0,140.0,147.0,147.0,176.0,193.0,141.0,197.0,232.0,218.0,180.0,221.0,250.0,292.0,244.0,247.0,251.0,292.0,233.0,283.0,317.0,323.0,288.0,321.0
'storage unit',41.0,51.0,60.0,66.0,59.0,79.0,85.0,82.0,79.0,71.0,68.0,68.0,80.0,94.0,73.0,97.0,79.0,97.0,104.0,114.0,109.0,148.0,181.0,157.0,151.0,166.0,180.0,190.0,161.0,228.0,264.0,264.0,219.0,242.0,267.0,281.0,229.0,322.0,341.0,312.0,260.0,274.0,245.0,312.0,269.0,272.0,246.0,255.0,221.0,271.0,269.0,259.0,229.0,241.0
'user input',37.0,50.0,53.0,60.0,53.0,58.0,72.0,83.0,66.0,46.0,65.0,75.0,61.0,65.0,54.0,61.0,71.0,88.0,88.0,93.0,85.0,116.0,119.0,131.0,100.0,123.0,112.0,127.0,126.0,160.0,200.0,169.0,165.0,157.0,206.0,213.0,192.0,233.0,260.0,249.0,198.0,239.0,240.0,281.0,224.0,244.0,250.0,278.0,270.0,271.0,302.0,281.0,226.0,335.0
